# HAT-P-41, Vmag = 11.4, exptime = 190s, Teff = 6500K
# wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
3810.0000,45,2.09,97.077,1.1075e+05,1.1085e+05
3824.0000,45,2.09,97.077,96261,96360
3838.0000,45,2.09,97.077,99684,99783
3852.0000,45,2.09,97.077,1.1608e+05,1.1618e+05
3866.0000,45,2.09,97.077,1.2084e+05,1.2094e+05
3880.0000,45,2.09,97.077,1.127e+05,1.128e+05
3894.0000,45,2.09,97.077,1.0802e+05,1.0812e+05
3908.0000,45,2.09,97.077,1.1964e+05,1.1974e+05
3922.0000,45,2.09,97.077,95148,95247
3936.0000,45,2.09,97.077,87263,87362
3950.0000,45,2.09,97.077,1.0778e+05,1.0788e+05
3964.0000,45,2.09,97.077,88167,88266
3978.0000,45,2.09,97.077,99543,99642
3992.0000,45,2.09,97.077,1.3229e+05,1.3239e+05
4006.0000,45,2.09,97.077,1.3975e+05,1.3985e+05
4020.0000,45,2.09,97.077,1.4096e+05,1.4106e+05
4034.0000,45,2.09,97.077,1.3992e+05,1.4002e+05
4048.0000,45,2.09,97.077,1.3757e+05,1.3767e+05
4062.0000,45,2.09,97.077,1.3582e+05,1.3592e+05
4076.0000,45,2.09,97.077,1.3479e+05,1.3489e+05
4090.0000,45,2.09,97.077,1.3335e+05,1.3345e+05
4104.0000,45,2.09,97.077,1.2409e+05,1.2419e+05
4118.0000,45,2.09,97.077,1.276e+05,1.2769e+05
4132.0000,45,2.09,97.077,1.3927e+05,1.3937e+05
4146.0000,45,2.09,97.077,1.4311e+05,1.4321e+05
4160.0000,45,2.09,97.077,1.4322e+05,1.4332e+05
4174.0000,45,2.09,97.077,1.4181e+05,1.4191e+05
4188.0000,45,2.09,97.077,1.4053e+05,1.4063e+05
4202.0000,45,2.09,97.077,1.4e+05,1.401e+05
4216.0000,45,2.09,97.077,1.3798e+05,1.3807e+05
4230.0000,45,2.09,97.077,1.3484e+05,1.3494e+05
4244.0000,45,2.09,97.077,1.3624e+05,1.3634e+05
4258.0000,45,2.09,97.077,1.3513e+05,1.3523e+05
4272.0000,45,2.09,97.077,1.312e+05,1.3129e+05
4286.0000,45,2.09,97.077,1.2617e+05,1.2627e+05
4300.0000,45,2.09,97.077,1.1829e+05,1.1839e+05
4314.0000,45,2.09,97.077,1.1446e+05,1.1456e+05
4328.0000,45,2.09,97.077,1.2132e+05,1.2142e+05
4342.0000,45,2.09,97.077,1.1682e+05,1.1692e+05
4356.0000,45,2.09,97.077,1.1931e+05,1.1941e+05
4370.0000,45,2.09,97.077,1.3269e+05,1.3279e+05
4384.0000,45,2.09,97.077,1.3068e+05,1.3078e+05
4398.0000,45,2.09,97.077,1.2913e+05,1.2923e+05
4412.0000,45,2.09,97.077,1.2963e+05,1.2973e+05
4426.0000,45,2.09,97.077,1.2942e+05,1.2952e+05
4440.0000,45,2.09,97.077,1.2877e+05,1.2886e+05
4454.0000,45,2.09,97.077,1.2856e+05,1.2866e+05
4468.0000,45,2.09,97.077,1.2974e+05,1.2984e+05
4482.0000,45,2.09,97.077,1.2937e+05,1.2947e+05
4496.0000,45,2.09,97.077,1.311e+05,1.312e+05
4510.0000,45,2.09,97.077,1.3477e+05,1.3486e+05
4524.0000,45,2.09,97.077,1.2942e+05,1.2952e+05
4538.0000,45,2.09,97.077,1.2689e+05,1.2699e+05
4552.0000,45,2.09,97.077,1.2838e+05,1.2848e+05
4566.0000,45,2.09,97.077,1.3219e+05,1.3229e+05
4580.0000,0,2.09,97.077,1.3017e+05,1.3027e+05
4594.0000,0,2.09,97.077,1.2737e+05,1.2747e+05
4608.0000,0,2.09,97.077,1.2877e+05,1.2887e+05
4622.0000,0,2.09,97.077,1.2774e+05,1.2784e+05
4636.0000,0,2.09,97.077,1.2699e+05,1.2708e+05
4650.0000,0,2.09,97.077,1.2773e+05,1.2783e+05
4664.0000,0,2.09,97.077,1.2884e+05,1.2894e+05
4678.0000,0,2.09,97.077,1.2796e+05,1.2806e+05
4692.0000,0,2.09,97.077,1.2519e+05,1.2529e+05
4706.0000,0,2.09,97.077,1.2179e+05,1.2189e+05
4720.0000,0,2.09,97.077,1.2336e+05,1.2346e+05
4734.0000,0,2.09,97.077,1.2614e+05,1.2624e+05
4748.0000,0,2.09,97.077,1.2655e+05,1.2665e+05
4762.0000,0,2.09,97.077,1.2594e+05,1.2604e+05
4776.0000,0,2.09,97.077,1.2515e+05,1.2525e+05
4790.0000,0,2.09,97.077,1.2444e+05,1.2453e+05
4804.0000,0,2.09,97.077,1.2332e+05,1.2342e+05
4818.0000,0,2.09,97.077,1.2257e+05,1.2267e+05
4832.0000,0,2.09,97.077,1.2041e+05,1.2051e+05
4846.0000,0,2.09,97.077,1.1214e+05,1.1224e+05
4860.0000,0,2.09,97.077,1.0173e+05,1.0183e+05
4874.0000,0,2.09,97.077,98634,98734
4888.0000,0,2.09,97.077,1.1189e+05,1.1199e+05
4902.0000,0,2.09,97.077,1.1509e+05,1.1519e+05
4916.0000,0,2.09,97.077,1.1427e+05,1.1437e+05
4930.0000,0,2.09,97.077,1.1284e+05,1.1294e+05
4944.0000,0,2.09,97.077,1.1403e+05,1.1413e+05
4958.0000,0,2.09,97.077,1.1475e+05,1.1485e+05
4972.0000,0,2.09,97.077,1.1373e+05,1.1382e+05
4986.0000,0,2.09,97.077,1.0901e+05,1.0911e+05
5000.0000,0,2.09,97.077,1.0532e+05,1.0542e+05
5014.0000,0,2.09,97.077,1.043e+05,1.044e+05
5028.0000,0,2.09,97.077,1.0706e+05,1.0716e+05
5042.0000,0,2.09,97.077,1.0713e+05,1.0723e+05
5056.0000,0,2.09,97.077,1.0752e+05,1.0762e+05
5070.0000,0,2.09,97.077,1.0883e+05,1.0893e+05
5084.0000,0,2.09,97.077,1.0706e+05,1.0716e+05
5098.0000,0,2.09,97.077,1.0626e+05,1.0636e+05
5112.0000,0,2.09,97.077,1.059e+05,1.06e+05
5126.0000,0,2.09,97.077,1.0375e+05,1.0385e+05
5140.0000,0,2.09,97.077,1.0154e+05,1.0164e+05
5154.0000,0,2.09,97.077,99088,99187
5168.0000,0,2.09,97.077,96333,96432
5182.0000,0,2.09,97.077,94846,94945
5196.0000,0,2.09,97.077,94889,94988
5210.0000,0,2.09,97.077,96403,96502
5224.0000,0,2.09,97.077,96772,96871
5238.0000,0,2.09,97.077,97308,97407
5252.0000,0,2.09,97.077,96686,96785
5266.0000,0,2.09,97.077,91262,91361
5280.0000,0,2.09,97.077,92475,92574
5294.0000,0,2.09,97.077,95645,95744
5308.0000,0,2.09,97.077,95825,95924
5322.0000,0,2.09,97.077,92473,92572
5336.0000,0,2.09,97.077,91211,91310
5350.0000,0,2.09,97.077,93553,93652
5364.0000,0,2.09,97.077,93490,93589
5378.0000,0,2.09,97.077,92805,92904
5392.0000,0,2.09,97.077,91725,91824
5406.0000,0,2.09,97.077,89905,90005
5420.0000,0,2.09,97.077,89982,90082
5434.0000,0,2.09,97.077,90866,90965
5448.0000,0,2.09,97.077,91423,91522
5462.0000,0,2.09,97.077,90578,90677
5476.0000,0,2.09,97.077,89596,89695
5490.0000,0,2.09,97.077,88995,89095
5504.0000,0,2.09,97.077,88678,88778
5518.0000,0,2.09,97.077,88381,88480
5532.0000,0,2.09,97.077,88158,88257
5546.0000,0,2.09,97.077,88228,88328
5560.0000,0,2.09,97.077,87181,87280
5574.0000,0,2.09,97.077,85746,85845
5588.0000,0,2.09,97.077,84760,84859
5602.0000,0,2.09,97.077,84916,85015
5616.0000,0,2.09,97.077,85160,85259
5630.0000,0,2.09,97.077,85029,85128
5644.0000,0,2.09,97.077,84345,84444
5658.0000,0,2.09,97.077,83200,83299
5672.0000,0,2.09,97.077,82116,82215
5686.0000,0,2.09,97.077,82193,82293
5700.0000,0,2.09,97.077,81584,81683
5714.0000,0,2.09,97.077,81388,81488
5728.0000,0,2.09,97.077,82608,82707
5742.0000,0,2.09,97.077,81586,81685
5756.0000,0,2.09,97.077,80610,80709
5770.0000,0,2.09,97.077,80377,80476
5784.0000,0,2.09,97.077,79314,79413
5798.0000,0,2.09,97.077,78835,78934
5812.0000,0,2.09,97.077,78868,78968
5826.0000,0,2.09,97.077,78721,78820
5840.0000,0,2.09,97.077,77846,77945
5854.0000,0,2.09,97.077,76924,77023
5868.0000,0,2.09,97.077,76438,76537
5882.0000,0,2.09,97.077,74664,74763
5896.0000,0,2.09,97.077,73884,73984
5910.0000,0,2.09,97.077,74637,74736
5924.0000,0,2.09,97.077,74273,74373
5938.0000,0,2.09,97.077,73838,73937
5952.0000,0,2.09,97.077,73462,73561
5966.0000,0,2.09,97.077,72992,73091
5980.0000,0,2.09,97.077,72266,72365
5994.0000,0,2.09,97.077,71440,71539
6008.0000,0,2.09,97.077,70616,70715
6022.0000,0,2.09,97.077,70217,70316
6036.0000,0,2.09,97.077,70098,70197
6050.0000,0,2.09,97.077,70189,70288
6064.0000,0,2.09,97.077,69910,70009
6078.0000,0,2.09,97.077,69205,69304
6092.0000,0,2.09,97.077,68265,68364
6106.0000,0,2.09,97.077,67478,67577
6120.0000,0,2.09,97.077,66328,66427
6134.0000,0,2.09,97.077,65319,65418
6148.0000,0,2.09,97.077,64981,65081
6162.0000,0,2.09,97.077,64171,64270
6176.0000,0,2.09,97.077,64143,64242
6190.0000,0,2.09,97.077,65080,65179
